时间,资金
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,10000.0
103,10000.0
104,10000.0
105,10000.0
106,10000.0
107,10000.0
108,10000.0
109,10000.0
110,10000.0
111,10000.0
112,10000.0
113,10000.0
114,10000.0
115,10000.0
116,10000.0
117,10000.0
118,10000.0
119,10000.0
120,10000.0
121,10000.0
122,10000.0
123,10000.0
124,10000.0
125,10000.0
126,10000.0
127,10000.0
128,10000.0
129,10000.0
130,10000.0
131,10000.0
132,10000.0
133,10000.0
134,10000.0
135,10000.0
136,10000.0
137,10000.0
138,10000.0
139,10000.0
140,10000.0
141,10000.0
142,10000.0
143,10000.0
144,10000.0
145,10000.0
146,10000.0
147,10000.0
148,10000.0
149,10000.0
150,10000.0
151,10000.0
152,10000.0
153,10000.0
154,10000.0
155,10000.0
156,10000.0
157,10000.0
158,10000.0
159,10000.0
160,10000.0
161,10000.0
162,10000.0
163,10000.0
164,10000.0
165,10000.0
166,10000.0
167,10000.0
168,10000.0
169,10000.0
170,10000.0
171,10000.0
172,10000.0
173,10000.0
174,10000.0
175,10000.0
176,10000.0
177,10000.0
178,10000.0
179,10000.0
180,10000.0
181,10000.0
182,10011.462803762823
183,10039.803862628249
184,10002.267757158643
185,10002.267757158643
186,10002.267757158643
187,10002.267757158643
188,10002.267757158643
189,10002.267757158643
190,10002.267757158643
191,10002.267757158643
192,10002.267757158643
193,10002.267757158643
194,10002.267757158643
195,10002.267757158643
196,10002.267757158643
197,10002.267757158643
198,10002.267757158643
199,10002.267757158643
200,10002.267757158643
201,10002.267757158643
202,10002.267757158643
203,10002.267757158643
204,10002.267757158643
205,10002.267757158643
206,10002.267757158643
207,10002.267757158643
208,10002.267757158643
209,10002.267757158643
210,10002.267757158643
211,10002.267757158643
212,10002.267757158643
213,10002.267757158643
214,10002.267757158643
215,9986.820917270788
216,9986.820917270788
217,9986.820917270788
218,9986.820917270788
219,9986.820917270788
220,9986.820917270788
221,9986.820917270788
222,9986.820917270788
223,9986.820917270788
224,9986.820917270788
225,9986.820917270788
226,9986.820917270788
227,9986.820917270788
228,9986.820917270788
229,9986.820917270788
230,9986.820917270788
231,9986.820917270788
232,9986.820917270788
233,9986.820917270788
234,9986.820917270788
235,9986.820917270788
236,9986.820917270788
237,9986.820917270788
238,9986.820917270788
239,9986.820917270788
240,9986.820917270788
241,9986.820917270788
242,9986.820917270788
243,9986.820917270788
244,9986.820917270788
245,9986.820917270788
246,9986.820917270788
247,9986.820917270788
248,9986.820917270788
249,9986.820917270788
250,9986.820917270788
251,9986.820917270788
252,9986.820917270788
253,9986.820917270788
254,9986.820917270788
255,9986.820917270788
256,9986.820917270788
257,9986.820917270788
258,9986.820917270788
259,9986.820917270788
260,9986.820917270788
261,9986.820917270788
262,9986.820917270788
263,9986.820917270788
264,9986.820917270788
265,9986.820917270788
266,9986.820917270788
267,9986.820917270788
268,9986.820917270788
269,9986.820917270788
270,9986.820917270788
